WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
13743,20160101,0052,11,BKN046 OVC250, ,10.00, , , ,44, ,6.7, ,39, ,3.8, ,32, ,0.0, , 63, , 8, ,340, , , ,30.09, , , , , ,30.15, ,AA, , , ,30.16, 
13743,20160101,0152,11,FEW045 BKN230, ,10.00, , , ,42, ,5.6, ,38, ,3.2, ,32, ,0.0, , 68, , 7, ,350, , , ,30.08, , , , , ,30.14, ,AA, , , ,30.15, 
13743,20160101,0252,11,FEW045 BKN220, ,10.00, , , ,42, ,5.6, ,38, ,3.2, ,32, ,0.0, , 68, , 8, ,340, , , ,30.09, , , , , ,30.15, ,AA, , , ,30.16, 
13743,20160101,0352,11,BKN220, ,10.00, , , ,42, ,5.6, ,37, ,2.8, ,30, ,-1.1, , 63, , 7, ,320, , , ,30.07, , , , , ,30.14, ,AA, , , ,30.14, 
13743,20160101,0452,11,BKN180 OVC230, ,10.00, , , ,42, ,5.6, ,37, ,2.8, ,30, ,-1.1, , 63, , 8, ,320, , , ,30.07, , , , , ,30.14, ,AA, , , ,30.14, 
13743,20160101,0552,11,OVC210, ,10.00, , , ,42, ,5.6, ,37, ,2.6, ,29, ,-1.7, , 60, ,10, ,320, , , ,30.07, , , , , ,30.14, ,AA, , , ,30.14, 
13743,20160101,0652,11,OVC200, ,10.00, , , ,41, ,5.0, ,36, ,2.1, ,28, ,-2.2, , 60, , 7, ,330, , , ,30.08, , , , , ,30.15, ,AA, , , ,30.15, 
13743,20160101,0752,11,OVC210, ,10.00, , , ,41, ,5.0, ,36, ,2.3, ,29, ,-1.7, , 62, , 9, ,330, , , ,30.08, , , , , ,30.15, ,AA, , , ,30.15, 
13743,20160101,0852,11,BKN160 OVC210, ,10.00, , , ,41, ,5.0, ,36, ,2.3, ,29, ,-1.7, , 62, , 7, ,320, , , ,30.09, , , , , ,30.16, ,AA, , , ,30.16, 
13743,20160101,0952,11,BKN160 OVC210, ,10.00, , , ,42, ,5.6, ,37, ,2.8, ,30, ,-1.1, , 63, ,10, ,330, , , ,30.10, , , , , ,30.16, ,AA, , , ,30.17, 
