WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
13743,20160201,0052,11,SCT150 BKN230, ,10.00, , , ,47, ,8.3, ,42, ,5.6, ,36, ,2.2, , 66, , 7, ,210, , , ,29.77, , , , , ,29.84, ,AA, , , ,29.84, 
13743,20160201,0152,11,BKN150 OVC230, ,10.00, , , ,50, ,10.0, ,45, ,7.1, ,39, ,3.9, , 66, ,11, ,200, , , ,29.77, , , , , ,29.83, ,AA, , , ,29.84, 
13743,20160201,0252,11,BKN150 OVC230, ,10.00, , , ,48, ,8.9, ,44, ,6.5, ,39, ,3.9, , 71, ,14, ,180, , , ,29.74, , , , , ,29.81, ,AA, , , ,29.81, 
13743,20160201,0352,11,SCT150 OVC230, ,10.00, , , ,46, ,7.8, ,43, ,6.0, ,39, ,3.9, , 77, ,11, ,180, , , ,29.75, , , , , ,29.82, ,AA, , , ,29.82, 
13743,20160201,0452,11,BKN230, ,10.00, , , ,46, ,7.8, ,43, ,6.0, ,39, ,3.9, , 77, ,11, ,190, , , ,29.75, , , , , ,29.82, ,AA, , , ,29.82, 
13743,20160201,0552,11,BKN150 OVC230, ,10.00, , , ,46, ,7.8, ,43, ,6.2, ,40, ,4.4, , 80, ,13, ,180, , , ,29.76, , , , , ,29.83, ,AA, , , ,29.83, 
13743,20160201,0652,11,FEW110 BKN130 BKN230, ,10.00, , , ,47, ,8.3, ,44, ,6.7, ,41, ,5.0, , 80, , 9, ,190, , , ,29.77, , , , , ,29.84, ,AA, , , ,29.84, 
13743,20160201,0752,11,FEW110 SCT140 BKN230, ,10.00, , , ,47, ,8.3, ,44, ,6.7, ,41, ,5.0, , 80, , 9, ,190, , , ,29.79, , , , , ,29.85, ,AA, , , ,29.86, 
13743,20160201,0852,11,FEW110 FEW140 BKN230, ,10.00, , , ,47, ,8.3, ,44, ,6.7, ,41, ,5.0, , 80, , 9, ,200, , , ,29.79, , , , , ,29.86, ,AA, , , ,29.86, 
13743,20160201,0952,11,SCT110 SCT140 SCT250, ,10.00, , , ,52, ,11.1, ,48, ,8.9, ,44, ,6.7, , 74, , 8, ,190, , , ,29.80, , , , , ,29.87, ,AA, , , ,29.87, 
13743,20160201,1052,11,BKN065 BKN110, ,10.00, , , ,54, ,12.2, ,49, ,9.7, ,45, ,7.2, , 72, , 0, ,000, , , ,29.81, , , , , ,29.88, ,AA, , , ,29.88, 
13743,20160201,1152,11,BKN055 BKN120 BKN250, ,10.00, , , ,59, ,15.0, ,52, ,11.0, ,45, ,7.2, , 60, , 8, ,300, , , ,29.82, , , , , ,29.88, ,AA, , , ,29.89, 
13743,20160201,1252,11,BKN060 OVC090, ,10.00, , , ,60, ,15.6, ,53, ,11.5, ,46, ,7.8, , 60, , 7, ,330, , , ,29.80, , , , , ,29.87, ,AA, , , ,29.87, 
13743,20160201,1352,11,BKN055 BKN075 OVC250, ,10.00, , , ,58, ,14.4, ,50, ,9.7, ,41, ,5.0, , 53, ,16, ,330, , , ,29.81, , , , , ,29.88, ,AA, , , ,29.88, 
